dataset,taxa,sites,windows,taxa_sites,estimate_seconds,estimate_minutes,estimate_hours,low_seconds,high_seconds
10163_NT_AL,161,1551,7,249711,1406.2275800775496,23.437126334625827,0.3906187722437638,1310.9092105815228,1686.3440298609362
10165_NT_AL,159,2031,8,322929,1818.5489073643653,30.309148456072755,0.5051524742678792,1695.282148018632,2180.7985680204806
10166_NT_AL,148,906,4,134088,755.1058774240561,12.585097957067601,0.20975163261779337,703.9225113369264,905.5207751200115
10169_NT_AL,150,399,2,59850,337.04050149028814,5.6173416915048024,0.09362236152508004,314.19487428789336,404.17799050573274
1016_NT_AL,135,2373,10,320355,1804.0536316611738,30.06756052768623,0.5011260087947705,1681.7694060567765,2163.4158754964747
10170_NT_AL,161,978,4,157458,886.7121684821686,14.778536141369477,0.24630893568949128,826.6081289160086,1063.342657127012
10171_NT_AL,157,1119,5,175683,989.3448023946247,16.489080039910412,0.27481800066517353,922.2840116878858,1186.4194136343967
10174_NT_AL,161,2190,9,352590,1985.5824631655921,33.093041052759865,0.5515506842126645,1850.9936629100805,2381.1047230144745
10175_NT_AL,159,438,2,69642,392.18336850103003,6.536389475017168,0.10893982458361945,365.5999905623637,470.30515647118193
10178_NT_AL,147,8205,33,1206135,6792.253053717438,113.2042175619573,1.886736959365955,6331.853545517598,8145.250134981319
10179_NT_AL,159,840,4,133560,752.1324875362219,12.53554145893703,0.20892569098228386,701.1506668319304,901.9550946022667
1017_NT_AL,159,1128,5,179352,1010.0064832629266,16.833441387715443,0.28055735646192403,941.5451811743065,1211.1968413230438
10180_NT_AL,158,3498,14,552684,3112.395865090366,51.87326441817277,0.8645544069695461,2901.4282356045123,3732.37608194938
10181_NT_AL,161,2475,10,398475,2243.9801809748133,37.399669682913554,0.6233278280485592,2091.876399864132,2690.9745157355364
10189_NT_AL,151,795,4,120045,676.0238429641042,11.267064049401737,0.18778440082336229,630.2008969739375,810.6858290770374
10190_NT_AL,160,687,3,109920,619.0057130127398,10.316761883545663,0.1719460313924277,577.047628767339,742.3098532396014
101928108_NT_AL,13,429,2,5577,31.406430690247902,0.5234405115041317,0.008724008525068862,29.277607584019737,37.66250046867955
101928147_NT_AL,160,768,3,122880,691.9889193504863,11.533148655841439,0.19221914426402398,645.083812071785,829.8311023115194
101928527_NT_AL,119,162,1,19278,108.56251942739807,1.809375323789968,0.030156255396499465,101.20382266536355,130.18785799447812
