dataset,taxa,sites,windows,taxa_sites,cpu_seconds,gpu_seconds
10553_NT_AL,157,807,4,126699,816.0309953713074,713.4953132551047
10555_NT_AL,150,1209,5,181350,1168.0220128855524,1021.2580609066625
10556_NT_AL,160,816,4,130560,840.8985608069354,735.2382268098917
10557_NT_AL,158,867,4,136986,882.2865368466516,771.4257332856911
10558_NT_AL,147,1419,6,208593,1343.486163406871,1174.6748425624673
10559_NT_AL,161,1011,4,162771,1048.3601381824883,916.6319042284994
10560_NT_AL,161,1542,7,248262,1598.9825252991068,1398.0676521467321
10562_NT_AL,159,1527,6,242793,1563.758304794717,1367.269414842632
10563_NT_AL,156,318,2,49608,319.5105377183705,279.3634953705967
10565_NT_AL,159,5562,22,884358,5695.88977817172,4980.191542471984
10566_NT_AL,159,2670,11,424530,2734.2728708591317,2390.7068353829914
10569_NT_AL,162,1782,7,288684,1859.3287387254084,1625.7009211733057
10574_NT_AL,162,1638,7,265356,1709.0799517576986,1494.3311497653617
10575_NT_AL,159,1626,7,258534,1665.141456186123,1455.9136008736868
10576_NT_AL,159,1605,7,255195,1643.6359392243096,1437.1102886852811
10577_NT_AL,162,450,2,72900,469.527459274093,410.5305356498246
10579_NT_AL,144,3822,15,550368,3544.758418460412,3099.3534958096393
10580_NT_AL,159,4044,16,642996,4141.348123503494,3620.980689995811
10584_NT_AL,161,834,4,134274,864.8193424769488,756.1533215890886
10590_NT_AL,149,831,4,123819,797.4817624123309,697.2768229578277
10592_NT_AL,158,3582,14,565956,3645.1561418508722,3187.136074543651
10598_NT_AL,162,1035,5,167670,1079.913156330414,944.2202319945967
10600_NT_AL,161,2553,10,411033,2647.342663481595,2314.6995563752316
10605_NT_AL,161,1509,6,242949,1564.7630549133282,1368.1479164004013
1060_NT_AL,154,3393,14,522522,3365.4105222883077,2942.540967747842
10611_NT_AL,152,2235,9,339720,2188.036604452605,1913.1060846496355
10613_NT_AL,160,1050,5,168000,1082.0385892736301,946.078600674493
10614_NT_AL,156,1485,6,231660,1492.0539261376734,1304.5748132872206
10615_NT_AL,161,5112,20,823032,5300.9070488515135,4634.839064704342
